epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3612,2.6246,10.386,1.79635,0.58607,0.5,0.46912,0.26113,1.85656,5.54164,1.51054,0.0002,0.0002,0.0002
2,26.0596,1.84332,3.43652,1.37371,0.08724,0.26667,0.05795,0.02641,1.89254,8.12216,1.4808,0.00041307,0.00041307,0.00041307
3,35.384,1.87451,2.27525,1.35715,0.21591,0.33333,0.11765,0.05411,1.9941,5.34612,1.57372,0.00061888,0.00061888,0.00061888
4,44.7431,1.82754,1.68335,1.3291,0.08281,0.1,0.03294,0.02214,2.31734,5.55697,1.78762,0.00081743,0.00081743,0.00081743
5,53.125,1.862,1.59175,1.40571,0.68762,0.43333,0.48439,0.22531,2.16188,2.85087,1.68531,0.00100872,0.00100872,0.00100872
6,62.8923,1.77801,1.47198,1.35279,0.62878,0.3,0.38134,0.15295,2.34281,2.69675,1.84452,0.00119275,0.00119275,0.00119275
7,73.2758,1.8575,1.49621,1.41057,0.41602,0.5,0.38863,0.14809,2.12764,1.99427,1.76805,0.00136952,0.00136952,0.00136952
8,81.438,1.83702,1.42779,1.40836,0.22682,0.43333,0.17846,0.07637,2.06111,4.12955,1.76361,0.00153903,0.00153903,0.00153903
9,90.918,1.86831,1.422,1.41954,0.84811,0.6,0.69203,0.32282,2.05365,2.48718,1.76485,0.00170128,0.00170128,0.00170128
10,100.015,1.90575,1.31143,1.40876,0.64776,0.24587,0.28466,0.10979,2.51865,2.68914,1.96677,0.001703,0.001703,0.001703
11,109.114,1.75621,1.31605,1.36172,0.63598,0.46594,0.47842,0.18771,2.26766,2.56816,1.80812,0.00167,0.00167,0.00167
12,117.917,1.70767,1.34362,1.32219,0.66245,0.36667,0.42329,0.17193,2.32797,3.89139,1.9603,0.001637,0.001637,0.001637
13,126.724,1.71314,1.2573,1.36004,0.50962,0.6,0.49373,0.22368,2.16064,1.74908,1.81243,0.001604,0.001604,0.001604
14,135.142,1.65898,1.06838,1.28066,0.55665,0.63333,0.56364,0.24594,2.12862,1.58312,1.80246,0.001571,0.001571,0.001571
15,143.405,1.58322,1.07239,1.31961,0.99423,0.53333,0.66299,0.29115,1.8897,1.55144,1.67285,0.001538,0.001538,0.001538
16,152.008,1.60408,1.01398,1.25354,0.70277,0.66667,0.63213,0.31404,1.87888,1.26099,1.58384,0.001505,0.001505,0.001505
17,160.525,1.60764,1.03683,1.26384,0.80979,0.56667,0.65083,0.34383,1.85624,1.32188,1.52433,0.001472,0.001472,0.001472
18,168.593,1.56435,1.00957,1.26513,0.88864,0.6,0.70887,0.34798,1.88501,1.03398,1.54935,0.001439,0.001439,0.001439
19,177.328,1.52572,0.98796,1.2595,0.76378,0.64697,0.71927,0.32556,1.83652,1.41612,1.54787,0.001406,0.001406,0.001406
20,186.694,1.55608,1.01003,1.27255,0.9034,0.6238,0.71254,0.34311,1.87742,1.06289,1.61173,0.001373,0.001373,0.001373
21,194.477,1.46334,0.91918,1.21778,0.89422,0.63333,0.73519,0.34352,1.82972,1.07241,1.56191,0.00134,0.00134,0.00134
22,203.456,1.54124,0.94493,1.21233,0.85235,0.63333,0.68135,0.30181,2.07389,1.3326,1.58859,0.001307,0.001307,0.001307
23,212.758,1.52363,0.91248,1.24037,0.76647,0.63333,0.67679,0.31486,2.01371,1.19689,1.56532,0.001274,0.001274,0.001274
24,220.449,1.54139,0.9694,1.18763,0.87608,0.56667,0.68471,0.31157,2.03233,1.53534,1.59149,0.001241,0.001241,0.001241
25,229.074,1.50391,0.92934,1.2263,0.83209,0.56667,0.63961,0.34056,1.94805,1.32877,1.5744,0.001208,0.001208,0.001208
26,237.303,1.49444,0.92822,1.22606,0.87874,0.72494,0.7784,0.33384,1.98331,1.15022,1.66179,0.001175,0.001175,0.001175
27,246.384,1.45652,0.92613,1.18853,0.87162,0.63333,0.74025,0.34072,1.82322,1.43676,1.42928,0.001142,0.001142,0.001142
28,255.527,1.41038,0.90195,1.18446,0.99485,0.66667,0.78385,0.34558,1.96,1.36637,1.54735,0.001109,0.001109,0.001109
29,264.851,1.41517,0.83623,1.16995,0.8392,0.69602,0.74915,0.38899,1.85034,1.28188,1.47839,0.001076,0.001076,0.001076
30,273.163,1.39477,0.8491,1.19334,0.88763,0.63333,0.74358,0.35008,1.85941,1.43541,1.50927,0.001043,0.001043,0.001043
31,282.102,1.36778,0.81233,1.14195,0.94973,0.62998,0.73135,0.35563,1.88698,1.2706,1.48988,0.00101,0.00101,0.00101
32,292.059,1.35656,0.84179,1.1493,0.87825,0.56667,0.69256,0.37442,1.90687,1.18208,1.54292,0.000977,0.000977,0.000977
33,299.467,1.33298,0.8046,1.13408,0.917,0.5,0.65409,0.36315,1.94684,1.16415,1.54525,0.000944,0.000944,0.000944
34,308.555,1.38285,0.81446,1.16726,0.89315,0.53333,0.67247,0.3073,2.11572,1.53347,1.53133,0.000911,0.000911,0.000911
35,318.019,1.36846,0.81924,1.15582,0.79442,0.6,0.68126,0.28988,2.13184,1.66657,1.56308,0.000878,0.000878,0.000878
36,325.515,1.2809,0.73876,1.1551,0.96613,0.66667,0.79243,0.40703,1.92446,1.2601,1.44043,0.000845,0.000845,0.000845
37,334.346,1.31679,0.79827,1.1438,0.87294,0.68738,0.78961,0.41423,1.82491,0.98485,1.41901,0.000812,0.000812,0.000812
38,343.867,1.25858,0.74011,1.10422,0.75144,0.63333,0.68493,0.35954,1.94953,1.09623,1.56164,0.000779,0.000779,0.000779
39,351.509,1.25784,0.7342,1.09932,0.7383,0.6,0.65784,0.35315,1.92622,1.18359,1.53675,0.000746,0.000746,0.000746
40,360.345,1.20554,0.71116,1.08918,0.70487,0.6,0.62326,0.34662,1.9551,1.13194,1.61991,0.000713,0.000713,0.000713
41,369.541,1.23253,0.71737,1.09704,0.83284,0.66441,0.73008,0.37066,1.92916,1.15945,1.61122,0.00068,0.00068,0.00068
42,377.89,1.27784,0.7287,1.07895,0.7541,0.71586,0.72866,0.35073,1.90724,1.21845,1.60866,0.000647,0.000647,0.000647
43,387.643,1.3076,0.75192,1.12513,0.86155,0.6,0.72243,0.34871,1.9968,1.31542,1.58818,0.000614,0.000614,0.000614
44,397.14,1.30833,0.69367,1.08896,0.8049,0.7,0.74764,0.35112,2.07154,1.27316,1.66685,0.000581,0.000581,0.000581
45,406.43,1.23934,0.71576,1.10924,0.84569,0.7,0.75313,0.37122,2.04052,1.17973,1.63957,0.000548,0.000548,0.000548
