epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1029,2.12688,3.78754,1.33129,0.66757,0.50833,0.57317,0.28867,1.77904,2.01305,1.3149,0.000465508,0.000465508,0.000465508
2,38.4883,2.01821,1.74228,1.30403,0.64071,0.58333,0.62541,0.2671,2.09394,1.60002,1.57876,0.000926301,0.000926301,0.000926301
3,56.4251,2.02482,1.59554,1.31702,0.7028,0.65833,0.70805,0.30375,1.93608,1.6287,1.54527,0.00137137,0.00137137,0.00137137
4,73.225,2.02731,1.47845,1.30949,0.65366,0.62914,0.67811,0.29291,1.91056,1.65919,1.46177,0.00135826,0.00135826,0.00135826
5,90.2275,1.98962,1.47462,1.33869,0.76094,0.61667,0.68091,0.31754,1.90454,1.37378,1.46061,0.00133469,0.00133469,0.00133469
6,107.868,1.91215,1.42474,1.29122,0.71004,0.6,0.67177,0.28953,1.93831,1.67331,1.44789,0.00131111,0.00131111,0.00131111
7,125.483,1.94236,1.39415,1.29091,0.69819,0.67474,0.70981,0.30737,1.8102,1.35788,1.38713,0.00128753,0.00128753,0.00128753
8,142.47,1.86074,1.29915,1.28563,0.764,0.64747,0.75692,0.33578,1.88468,1.26102,1.43982,0.00126395,0.00126395,0.00126395
9,160.319,1.91264,1.34717,1.28931,0.77548,0.625,0.73957,0.33269,1.81751,1.42621,1.39761,0.00124037,0.00124037,0.00124037
10,177.331,1.9041,1.30127,1.24632,0.75489,0.7443,0.78226,0.32884,1.85889,1.27216,1.44702,0.00121679,0.00121679,0.00121679
11,194.164,1.83395,1.27106,1.24596,0.71333,0.70833,0.75692,0.35834,1.80065,1.27097,1.36414,0.00119322,0.00119322,0.00119322
12,211.362,1.79715,1.29417,1.2137,0.72064,0.64491,0.72594,0.33235,1.95484,1.32876,1.50005,0.00116964,0.00116964,0.00116964
13,228.744,1.7702,1.1899,1.1829,0.81429,0.76667,0.85859,0.42503,1.80064,1.135,1.37687,0.00114606,0.00114606,0.00114606
14,245.837,1.79591,1.18828,1.2333,0.78832,0.68278,0.75878,0.34878,1.91437,1.2678,1.38413,0.00112248,0.00112248,0.00112248
15,263.205,1.80781,1.23519,1.23322,0.81448,0.73172,0.84025,0.39064,1.76636,1.16986,1.38348,0.0010989,0.0010989,0.0010989
16,280.539,1.77021,1.20408,1.21252,0.85923,0.75833,0.85533,0.40748,1.74056,1.11712,1.3099,0.00107532,0.00107532,0.00107532
17,297.354,1.73504,1.12287,1.17691,0.85746,0.70182,0.81287,0.38867,1.69882,1.13723,1.3411,0.00105174,0.00105174,0.00105174
18,314.137,1.72676,1.13347,1.20637,0.76836,0.775,0.83891,0.39112,1.75732,1.18646,1.31903,0.00102817,0.00102817,0.00102817
19,331.756,1.72602,1.11241,1.19887,0.89564,0.64167,0.80545,0.3885,1.8223,1.14771,1.3365,0.00100459,0.00100459,0.00100459
20,348.727,1.68501,1.11345,1.15561,0.82019,0.71667,0.82244,0.41423,1.70493,1.11911,1.31435,0.000981008,0.000981008,0.000981008
21,365.623,1.69105,1.11876,1.18434,0.89339,0.70833,0.82132,0.43531,1.64912,1.09803,1.28662,0.00095743,0.00095743,0.00095743
22,383.149,1.67593,1.0821,1.14829,0.85537,0.65833,0.81348,0.40212,1.76913,1.15819,1.34298,0.000933851,0.000933851,0.000933851
23,400.126,1.68111,1.08694,1.16638,0.77495,0.76667,0.8551,0.44887,1.67246,1.05433,1.29879,0.000910273,0.000910273,0.000910273
24,416.947,1.6315,1.03853,1.13655,0.86238,0.73111,0.84549,0.42273,1.69987,1.05437,1.29919,0.000886694,0.000886694,0.000886694
25,434.69,1.64847,1.02502,1.15579,0.86383,0.8,0.87087,0.41551,1.8182,1.11094,1.35366,0.000863116,0.000863116,0.000863116
26,451.215,1.62348,1.02963,1.13373,0.86428,0.75,0.86644,0.43117,1.64433,1.07069,1.28415,0.000839537,0.000839537,0.000839537
27,468.079,1.61244,1.0073,1.1333,0.79947,0.78333,0.8467,0.42596,1.71669,1.08437,1.30228,0.000815959,0.000815959,0.000815959
28,485.991,1.58813,1.0086,1.10534,0.85423,0.78137,0.87319,0.45107,1.69209,1.03773,1.28318,0.00079238,0.00079238,0.00079238
29,503.072,1.56924,0.98229,1.11396,0.81846,0.82658,0.88161,0.43158,1.71046,1.0158,1.3191,0.000768802,0.000768802,0.000768802
30,520.307,1.58294,0.97062,1.11698,0.77382,0.79167,0.84982,0.44741,1.68674,1.02367,1.2976,0.000745223,0.000745223,0.000745223
31,538.122,1.50675,0.95353,1.0846,0.76893,0.81667,0.8724,0.43662,1.69649,1.00412,1.28019,0.000721645,0.000721645,0.000721645
32,555.069,1.53765,0.93296,1.08586,0.79783,0.75,0.84307,0.44569,1.72286,0.99831,1.31135,0.000698066,0.000698066,0.000698066
33,572.219,1.53071,0.95447,1.09886,0.83548,0.84639,0.90823,0.45491,1.65234,0.94205,1.32441,0.000674488,0.000674488,0.000674488
34,590.652,1.54173,0.95554,1.08805,0.82249,0.80833,0.89914,0.45798,1.63278,0.9554,1.27877,0.000650909,0.000650909,0.000650909
35,609.813,1.50357,0.93184,1.07097,0.79019,0.83333,0.88902,0.44931,1.60667,0.96569,1.2249,0.000627331,0.000627331,0.000627331
36,627.291,1.47769,0.8861,1.06636,0.88214,0.74847,0.87341,0.45707,1.66249,0.98161,1.27911,0.000603752,0.000603752,0.000603752
37,644.647,1.47286,0.88948,1.06547,0.82523,0.81667,0.87332,0.43199,1.64608,1.00766,1.28717,0.000580174,0.000580174,0.000580174
38,661.43,1.46646,0.86615,1.08064,0.82345,0.83333,0.89616,0.45086,1.70363,0.97503,1.2958,0.000556595,0.000556595,0.000556595
39,678.65,1.47984,0.89865,1.06842,0.86454,0.74462,0.87324,0.42968,1.70444,0.99045,1.31807,0.000533017,0.000533017,0.000533017
40,696.679,1.44358,0.88807,1.06769,0.85035,0.78333,0.86926,0.42761,1.66362,0.94692,1.30414,0.000509438,0.000509438,0.000509438
41,716.316,1.40816,0.83795,1.05203,0.877,0.77245,0.89238,0.43811,1.71437,0.95223,1.27847,0.00048586,0.00048586,0.00048586
